wave_id,country,variant,variant_era,strategy,start,end,peak_date,mean_StringencyIndex_Average,early_StringencyIndex_Average,late_StringencyIndex_Average,peak_StringencyIndex_Average,mean_GovernmentResponseIndex_Average,early_GovernmentResponseIndex_Average,late_GovernmentResponseIndex_Average,peak_GovernmentResponseIndex_Average,mean_ContainmentHealthIndex_Average,early_ContainmentHealthIndex_Average,late_ContainmentHealthIndex_Average,peak_ContainmentHealthIndex_Average,mean_EconomicSupportIndex,early_EconomicSupportIndex,late_EconomicSupportIndex,peak_EconomicSupportIndex,mean_reservoir_gating_index,early_reservoir_gating_index,late_reservoir_gating_index,peak_reservoir_gating_index,mean_detection_index,early_detection_index,late_detection_index,peak_detection_index,mean_barrier_information_index,early_barrier_information_index,late_barrier_information_index,peak_barrier_information_index,mean_targeted_protection_index,early_targeted_protection_index,late_targeted_protection_index,peak_targeted_protection_index,mean_people_vaccinated_per_hundred,early_people_vaccinated_per_hundred,late_people_vaccinated_per_hundred,peak_people_vaccinated_per_hundred,mean_people_fully_vaccinated_per_hundred,early_people_fully_vaccinated_per_hundred,late_people_fully_vaccinated_per_hundred,peak_people_fully_vaccinated_per_hundred,mean_total_boosters_per_hundred,early_total_boosters_per_hundred,late_total_boosters_per_hundred,peak_total_boosters_per_hundred,mean_positive_rate,early_positive_rate,late_positive_rate,peak_positive_rate,mean_tests_per_case,early_tests_per_case,late_tests_per_case,peak_tests_per_case,mean_reproduction_rate,early_reproduction_rate,late_reproduction_rate,peak_reproduction_rate,mean_new_deaths_smoothed_per_million,early_new_deaths_smoothed_per_million,late_new_deaths_smoothed_per_million,peak_new_deaths_smoothed_per_million
IT01,Italy,Ancestral,pre-variant,National lockdown followed by vaccination and certification,2020-02-29,2020-06-30,2020-03-23,77.95886178861788,74.34071428571428,67.59000000000002,85.19,70.0118699186992,57.81142857142857,67.45000000000002,69.27,73.16138211382115,66.07000000000001,66.37,73.81,47.96747967479675,0.0,75.0,37.5,83.73015873015873,90.64625850340136,72.6190476190476,91.66666666666667,83.33333333333336,83.33333333333334,83.33333333333334,83.33333333333334,85.77235772357723,50.0,100.0,50.0,47.289972899729,50.0,33.33333333333333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.778660911983472,13.128694208333334,0.53561157,23.600046,62.16338782892562,8.328046266666666,187.40914285714285,4.246099,1.093256910569106,2.5604642857142856,0.9370142857142857,1.4493,4.732170242796748,0.6301910874285713,0.5817543385714287,8.786733
IT02,Italy,Ancestral,pre-variant,National lockdown followed by vaccination and certification,2020-08-05,2021-02-01,2020-11-13,73.45530386740332,65.33999999999999,74.06999999999996,82.41,71.55657458563537,66.18714285714286,75.68000000000004,75.78,71.06160220994477,64.92000000000002,75.77,75.89,75.0,75.0,75.0,75.0,81.25493291239147,75.68027210884354,82.14285714285712,86.90476190476191,85.72744014732967,83.33333333333334,100.0,83.33333333333334,100.0,100.0,100.0,100.0,37.42173112338858,33.33333333333333,53.33333333333335,33.333333333333336,0.28755981485635357,0.0,2.298716014285714,0.0,0.03638103778036464,0.0,0.46899873671428566,0.0,0.0,0.0,0.0,0.0,7.302695876132597,0.7182876628571429,6.164250742857142,15.862254,38.062189901657455,146.60312535714283,17.158959999999997,6.3056474,1.1577447513812156,1.2888214285714283,0.9128000000000001,1.1055,4.83515406063536,0.18861232392857138,7.826555614285715,8.139769
IT03,Italy,Alpha,Alpha,National lockdown followed by vaccination and certification,2021-02-02,2021-06-27,2021-03-19,75.1618493150685,74.33499999999997,70.60499999999999,79.63,79.4858904109589,77.01714285714286,79.55999999999999,80.89,80.1267808219178,77.30071428571429,80.20500000000001,81.73,75.0,75.0,75.0,75.0,85.1924331376386,82.4829931972789,82.14285714285712,91.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.9041095890411,62.857142857142854,100.0,70.0,22.10061845684932,2.638206742857143,53.57066335714285,8.941904,10.53813128150685,1.9729153571428566,27.11971585714286,4.078122,0.0,0.0,0.0,0.0,4.287691317191781,4.875603835714285,0.8140923507142858,6.8354816,37.24704234589042,20.517735285714284,132.31179492857143,14.630998,0.8842842465753425,0.9868714285714287,0.63075,1.0361,4.599140979452055,6.401351564285714,0.7072106285714285,6.4001536
IT04,Italy,Delta,Delta,National lockdown followed by vaccination and certification,2021-06-28,2021-10-12,2021-08-24,57.64775700934579,51.29785714285714,55.939285714285724,53.82,70.26869158878503,66.35357142857144,69.74214285714287,67.77,69.59392523364487,65.11785714285715,68.99642857142858,66.74,75.0,75.0,75.0,75.0,50.623052959501564,45.66326530612243,44.21768707482993,41.66666666666667,100.0,100.0,100.0,100.0,80.49065420560747,75.0,87.5,75.0,100.0,100.0,100.0,100.0,68.71591861682242,59.08682757142858,76.63716378571429,70.40732,56.33461303738318,34.60106592857142,69.48860092857143,59.811134,0.062163648142056084,0.0,0.41704643714285716,0.0,1.7816173458878506,0.446197105,1.1182872714285714,3.118056,84.23598162616823,226.74847785714286,89.98976,32.074745,1.076707476635514,1.0573785714285715,0.8699071428571429,1.0452,0.6081329328971964,0.43661527357142854,0.7626647085714288,0.81229955
IT05,Italy,Omicron BA.1,Omicron BA.1,National lockdown followed by vaccination and certification,2021-10-13,2022-03-01,2022-01-11,50.57457142857143,50.27428571428572,46.917857142857144,53.32,66.96857142857142,66.33714285714287,64.62214285714285,69.05,65.82207142857143,65.09857142857143,63.136428571428574,68.21,75.0,75.0,75.0,75.0,37.11734693877553,35.54421768707484,31.887755102040824,41.66666666666667,100.0,100.0,100.0,100.0,87.05357142857143,83.92857142857143,86.60714285714286,87.5,100.0,100.0,100.0,100.0,81.24992469285714,77.9183057857143,85.01394714285713,82.48453,75.021072,71.20253899999999,79.26261114285714,75.688156,29.254113122428578,1.4553400314285714,62.28382357142856,41.068184,6.799227220642857,0.7779239499999999,10.902800607142856,15.419363,45.65590408571428,133.57621007142856,9.181384035714286,6.5640745,1.1546942857142857,1.1011714285714285,0.7518142857142857,1.3072,2.7492042750714285,0.633785322857143,4.436154914285714,3.5439262
IT06,Italy,Omicron BA.2,Omicron BA.2,National lockdown followed by vaccination and certification,2022-03-02,2022-05-31,2022-03-21,34.09274725274725,43.730714285714285,22.52,43.67,54.58175824175824,62.102857142857154,47.04,62.07,54.05912087912088,60.252142857142864,46.62,60.22,58.24175824175824,75.0,50.0,75.0,20.552066980638415,28.571428571428566,13.095238095238098,28.571428571428577,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0,100.0,100.0,100.0,100.0,85.2495518901099,85.13355835714286,85.31713492857143,85.20026,80.15657200000001,79.82083864285714,80.3084982142857,80.036125,65.90513408791209,63.748447214285704,67.90054214285713,64.68694,13.78149797802198,10.265574428571428,12.925791964285716,14.051873,7.47909310879121,9.788396892857142,7.829651628571429,7.155471,0.9528604395604394,1.0698785714285715,0.7489071428571429,1.1684,2.2583185406593405,2.928283307142857,1.640858714285714,2.197282
IT07,Italy,Omicron BA.5,Omicron BA.4/BA.5,National lockdown followed by vaccination and certification,2022-06-01,2022-09-10,2022-07-11,18.856274509803917,19.22,16.569999999999997,19.22,44.60803921568629,45.17999999999999,41.01285714285716,45.18,44.26666666666666,44.5,42.800000000000004,44.5,47.05882352941177,50.0,28.571428571428573,50.0,9.056956115779647,9.523809523809522,6.1224489795918355,9.523809523809524,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0,100.0,100.0,100.0,100.0,85.35986116666668,85.32822928571429,85.38701800000001,85.35299,80.3532053235294,80.32285357142858,80.3777607857143,80.34782,70.35764059803921,68.36119900000001,72.41821342857143,69.26994,17.432238607843146,11.073789000000001,18.893919000000004,18.893919,5.9587766882352975,9.059774785714286,5.2927084,5.2927084,0.9979656862745099,1.0286428571428572,0.8602642857142857,1.2078,1.5673495225490197,1.0252157821428571,1.2352224214285716,1.3442479
IT08,Italy,Omicron BA.5/BQ.1,Omicron descendants,National lockdown followed by vaccination and certification,2022-09-11,2022-12-24,2022-10-10,17.16619047619048,15.509999999999996,19.210000000000004,15.51,40.66666666666668,39.97000000000001,40.268571428571434,39.97,42.91333333333333,42.12,42.46,42.12,25.0,25.0,25.0,25.0,6.8934240362811785,4.761904761904761,9.523809523809522,4.761904761904762,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0,98.0952380952381,100.0,85.71428571428571,100.0,85.40849593333334,85.39372214285716,85.42161964285715,85.400986,80.3967384857143,80.38321564285714,80.40818557142858,80.39084,75.42903498095238,72.70690964285714,78.43153257142856,73.53892,18.893919000000004,18.893919000000004,18.893919000000004,18.893919,5.292708400000002,5.2927084,5.2927084,5.2927084,1.0636828571428572,1.0557999999999998,1.2460285714285715,1.184,1.2330658793333333,0.8547458535714287,1.7615226857142858,0.8841844
JP01,Japan,Ancestral,pre-variant,Cluster-focused response and voluntary behavioural suppression,2020-03-04,2020-05-24,2020-04-12,43.765975609756104,41.73285714285715,42.12857142857143,45.37,46.6080487804878,38.43000000000001,49.22000000000001,46.88,45.46999999999999,42.89928571428571,45.53357142857142,46.43,54.573170731707314,7.142857142857143,75.0,50.0,45.746225319396046,41.75170068027211,48.80952380952382,48.80952380952381,66.66666666666667,66.66666666666666,66.66666666666666,66.66666666666667,62.5,62.5,62.5,62.5,43.08943089430895,33.33333333333333,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.207152663414634,6.359217935714286,2.1508974785714288,11.428258,22.611151136585367,22.73636392857142,58.235047428571434,8.944329,1.1177170731707318,1.4158714285714284,0.4523142857142857,1.4225,0.07577846718536585,0.009551205014285715,0.12857391171428573,0.03200062
JP02,Japan,Ancestral,pre-variant,Cluster-focused response and voluntary behavioural suppression,2020-05-25,2020-09-21,2020-08-06,30.57291666666666,31.479999999999993,34.79285714285714,32.41,46.68441666666666,43.230000000000004,50.29714285714285,48.96,39.69308333333334,38.68999999999999,43.195714285714295,41.67,95.625,75.0,100.0,100.0,32.65873015873016,34.523809523809526,35.20408163265306,39.285714285714285,77.7777777777778,66.66666666666666,83.33333333333334,83.33333333333334,62.5,62.5,62.5,62.5,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.524954065,1.221800107142857,3.2926740999999997,6.55039,41.976035575000004,82.8776335,30.481664285714285,15.367478,1.1459491666666668,0.9049428571428572,0.8973571428571427,1.1546,0.046591376590000004,0.06987890085714286,0.08498123442857143,0.025143342
