wave_id,province,variant,start,end,duration_days,peak_cases,total_cases,included_strict_peak_gt10,right_censored_at_2022_05_31
W075,Jilin,Omicron,2022-03-01,2022-05-31,92,4427.0,75060.0,1,1
W076,Hebei,Omicron,2022-03-02,2022-05-16,76,555.0,6377.0,1,0
W077,Zhejiang,Omicron,2022-03-03,2022-05-28,87,68.0,1600.0,1,0
W078,Shaanxi,Omicron,2022-03-05,2022-03-28,24,60.0,404.0,1,0
W079,Gansu,Omicron,2022-03-06,2022-04-05,31,77.0,696.0,1,0
W080,Liaoning,Omicron,2022-03-06,2022-05-31,87,246.0,4258.0,1,1
W081,Heilongjiang,Omicron,2022-03-08,2022-05-07,61,95.0,1629.0,1,0
W082,Henan,Omicron,2022-03-09,2022-05-31,84,116.0,2004.0,1,1
W083,Fujian,Omicron,2022-03-11,2022-04-22,43,275.0,3581.0,1,0
W084,Chongqing,Omicron,2022-03-12,2022-03-22,11,16.0,77.0,1,0
W085,Anhui,Omicron,2022-03-13,2022-05-06,55,95.0,1706.0,1,0
W086,Jiangxi,Omicron,2022-03-13,2022-05-14,63,137.0,2221.0,1,0
W087,Hubei,Omicron,2022-03-27,2022-04-29,34,45.0,393.0,1,0
W088,Shanxi,Omicron,2022-03-28,2022-04-27,31,59.0,396.0,1,0
W089,Hainan,Omicron,2022-03-29,2022-04-15,18,31.0,127.0,1,0
W090,Xinjiang,Omicron,2022-03-29,2022-04-10,13,24.0,90.0,1,0
W091,Sichuan,Omicron,2022-03-30,2022-04-14,16,16.0,85.0,1,0
W092,Shaanxi,Omicron,2022-04-02,2022-04-21,20,14.0,68.0,1,0
W093,Qinghai,Omicron,2022-04-11,2022-04-25,15,15.0,110.0,1,0
W094,Hunan,Omicron,2022-04-12,2022-05-08,27,12.0,58.0,1,0
W095,Beijing,Omicron,2022-04-17,2022-05-31,45,96.0,1778.0,1,1
W096,Sichuan,Omicron,2022-04-24,2022-05-31,38,207.0,1388.0,1,1
W097,Xinjiang,Omicron,2022-04-27,2022-05-06,10,48.0,193.0,1,0
W098,Qinghai,Omicron,2022-05-06,2022-05-17,12,38.0,176.0,1,0
W099,Anhui,Omicron,2022-05-10,2022-05-22,13,15.0,63.0,1,0
W100,Tianjin,Omicron,2022-05-12,2022-05-30,19,45.0,311.0,1,0
W101,Hebei,Omicron,2022-05-27,2022-05-31,5,19.0,59.0,1,1
