wave_id,province,variant,start,end,duration_days,peak_cases,total_cases,reservoir_sse_log1p,classic_sse_log1p,reservoir_aic,classic_aic,delta_aic_classic_minus_reservoir,Q_accessible_scale,beta0_per_day,control_decay_q_per_day,activation_a_per_day,initial_active_fraction_s0,initial_reserve_fraction_u0,R0_combined,initial_active_count,recruited_to_active_count,direct_infections_from_reserve,max_active_count,Rt_below_one_day,recruitment_share_of_accessible_susceptible
W001,Anhui,Alpha,2020-01-22,2020-02-22,32,74.0,989.0,3.7895578006316812,4.789966521263926,-58.27157010584173,-54.7747993823695,3.496770723472231,4560.6450960192415,7.997106282008418,0.2447686076530445,5.667237471373171,0.22070020186232284,0.7775456603278785,11.028082804725413,1006.5352933138593,3181.016301403804,353.4462557115335,3569.5580369447066,15.5,0.759636324341818
W002,Beijing,Alpha,2020-01-22,2020-03-14,53,29.0,437.0,23.599653165425735,24.671305027321907,-32.880174594467235,-34.526507507411026,-1.646332912943791,5248.039101350849,7.999997911996396,0.2128278435472585,1.0911207221876114,0.0019092338755183286,0.9767494617178184,0.6092451241212504,10.019734032343807,1688.409229005298,187.6010254450333,1555.8810245695458,0.25,0.9941005869239196
W003,Chongqing,Alpha,2020-01-22,2020-02-24,34,53.0,576.0,9.124800054103614,9.192089956063906,-34.72239426706885,-38.47258472433967,-3.7501904572708185,2591.755895505443,0.49090541473028343,0.08279463297573329,6.622884645383875,0.0019092703715406804,0.9795704669435205,3.248477458113744,4.948362741554425,2282.1283143073506,253.56981270081653,2061.25922015234,12.25,0.9978363809170853
W004,Fujian,Alpha,2020-01-22,2020-02-19,29,24.0,293.0,4.805559877183893,3.5811641332533224,-42.12814596475798,-54.65662926083421,-12.528483296076232,1923.738497468561,1.472678425432505,0.1523661260993283,701.3040718042589,0.9958406546394767,7.75986085382787e-07,7.333037337381368,1915.737004674255,7091.365629552016,787.9295143946683,1915.7365737300636,13.5,0.787308185276429
W005,Guangdong,Alpha,2020-01-22,2020-03-06,45,99.0,1352.0,8.500500486761837,14.429353190602805,-64.99418512453751,-45.18290738663456,19.811277737902948,1475.1325940900965,1.8009889130687948,0.0001148461030561249,1.1314944185886981,0.0019113629282116135,0.857084363399495,0.5021048039358872,2.8195137545404405,1133.6155518820015,125.95728354244467,326.7556455285024,0.25,0.997518983846245
W006,Guangxi,Alpha,2020-01-22,2020-02-25,35,20.0,252.0,13.407704404644337,13.512587697924381,-23.58314974649955,-27.310423594419426,-3.727273847919875,1968.9635842871296,0.05000001838457685,0.026389959550473477,6.490584683922818,0.0019178271513567192,0.9899560703002344,3.2131763107876923,3.776131821978501,1703.4343170396883,189.27047967107657,1686.1986361150477,14.0,0.997788127512051
W007,Guizhou,Alpha,2020-01-22,2020-02-17,27,18.0,146.0,9.349909736063044,13.124266964845889,-18.632694769477997,-13.477095553362158,5.155599216115839,147.4600000000001,2.156159021896961,0.00036549175935013015,1.4046660104239836,0.002334191216621689,0.9434138082408583,0.6877550923530492,0.3441998368030345,124.70573055822732,13.856192284247474,36.78055697146621,0.25,0.9972475007645909
W008,Hainan,Alpha,2020-01-22,2020-02-19,29,19.0,168.0,11.980548999142856,13.444744377451961,-15.636330949259069,-16.292519034335513,-0.6561880850764439,350.2433658012835,3.0605167634898875,0.1390613055807111,1.0868313027835537,0.0025915809683006025,0.9060433765367739,0.5320160366370627,0.9076840410841525,257.64381173832084,28.62709019314676,153.38817924825025,0.25,0.9964893490971908
W009,Hebei,Alpha,2020-01-22,2020-02-28,38,23.0,318.0,11.874762787020812,13.462645299073346,-34.20048986173102,-33.431358328248514,0.7691315334825077,2260.6640162275967,7.999999517844965,0.27942996288870325,6.06308728546311,0.0019099782590639258,0.9945512384708111,3.091424610115011,4.317819122042848,1978.2846317163842,219.8094035240428,1917.4320704985678,17.0,0.997822145775511
W010,Henan,Alpha,2020-01-22,2020-02-23,33,109.0,1271.0,8.490790181099047,14.174112155038372,-34.798341285350375,-21.887981496523008,12.910359788827368,1535.332495583182,7.9999999887786135,0.17207179538047507,2.7958848890726573,0.0019092290922659576,0.972037782310755,1.4352220371686857,2.931301466868706,1343.1376633749646,149.23751815277384,593.3246585263331,15.0,0.9978223244540736
W011,Hubei,Alpha,2020-01-22,2020-03-18,57,14840.0,67800.0,204.77378158211445,222.04380460270357,82.89471205846957,83.50993451838715,0.6152224599175895,68478.00000002573,3.292079004881466,0.10119223449679166,1.213555718670275,0.0020873707152712904,0.9460419554917051,0.6083962591302293,142.93897184040114,55754.40456250526,6194.933840278362,30198.054942765128,0.25,0.9974428306820419
W012,Hunan,Alpha,2020-01-22,2020-02-23,33,78.0,1016.0,4.8425809764251015,5.297129675914331,-53.32897086818542,-54.36830112036644,-1.039330252181017,5411.056572135845,7.998707017274348,0.28339919322796037,6.649079952701482,0.002663173842880174,0.9914230088511276,3.402535162925844,14.410584325257041,4816.787958821344,535.1986620912606,4376.759756680946,14.0,0.9970171823414922
W013,Jiangsu,Alpha,2020-01-22,2020-02-19,29,39.0,631.0,2.084709133279066,2.287324504774788,-66.34732817780613,-67.65747798559809,-1.3101498077919587,2859.441016600538,4.10653586387217,0.18857874261925617,4.53472016468285,0.36350408611332075,0.6336981642728367,8.900534753367415,1039.4184935343235,1612.0674217185679,179.11860241317416,2196.818920833429,16.0,0.607986417142331
W014,Jiangxi,Alpha,2020-01-22,2020-02-19,29,85.0,934.0,20.20410013467658,21.590175943174017,-0.4808978071527754,-2.5566656498820155,-2.07576784272924,3904.89916204006,7.9999999234932195,0.23876631072200105,6.616212854591368,0.0026931165058333775,0.9932094665479014,3.3933672791411573,10.51634838690501,3481.7609970124213,386.86233300138014,3098.4136948021574,16.0,0.9969886846467804
W015,Liaoning,Alpha,2020-01-22,2020-02-16,26,16.0,121.0,5.877880940131911,6.610118705785287,-28.65940586030363,-29.606868070903147,-0.9474622105995181,124.40578122276783,7.261444587192175,0.00010068008692027662,0.7397198343688297,0.0019092290920121992,0.8694793845018407,0.3909043794249159,0.23751913672501332,93.039088572968,10.337676508107558,7.673380627700027,0.25,0.9974536044614561
W016,Ningxia,Alpha,2020-01-22,2020-02-15,25,6.0,70.0,7.042376014916274,7.059399879654449,-21.67325523801224,-25.612894496445147,-3.9396392584329085,3799004.1937690303,0.4605810792028512,0.0888521293327017,3.299424077841336,0.3387983535651648,0.6611995406198395,1.8710093988753285,1287096.3660361038,494.74042047926923,54.97115783102994,1287578.265192832,-1.0,0.0003842372147480744
W017,Shandong,Alpha,2020-01-22,2020-02-25,35,40.0,555.0,3.6958911699879358,3.9651461303969833,-68.68442237225791,-70.22318732001848,-1.5387649477605692,2672.650875021035,6.0554442792627245,0.2359234014847313,3.4347020874979504,0.17768963084926423,0.8163238034718668,6.781862828981955,474.90234737145073,1896.186525948282,210.68739177203128,2052.535893046004,14.75,0.7997112834040061
